  630.0  -699.0   -69.0   855.0  -924.0   -69.0
  666.0  -735.0   -69.0   645.0  -712.0   -67.0
  640.0  -708.0   -68.0   654.0  -720.0   -66.0
  680.0  -748.0   -68.0   641.0  -707.0   -66.0
  691.0  -759.0   -68.0   657.0  -724.0   -67.0
  683.0  -751.0   -68.0   604.0  -671.0   -67.0
  732.0  -800.0   -68.0   794.0  -862.0   -68.0
  829.0  -897.0   -68.0   517.0  -584.0   -67.0
  653.0  -722.0   -69.0   771.0  -837.0   -66.0
  676.0  -744.0   -68.0   676.0  -743.0   -67.0
  608.0  -677.0   -69.0   757.0  -825.0   -68.0
  691.0  -759.0   -68.0   695.0  -762.0   -67.0
  723.0  -791.0   -68.0   619.0  -686.0   -67.0
  788.0  -856.0   -68.0   500.0  -567.0   -67.0
  652.0  -720.0   -68.0   688.0  -755.0   -67.0
  603.0  -671.0   -68.0   760.0  -828.0   -68.0
  630.0  -699.0   -69.0   717.0  -784.0   -67.0
  647.0  -715.0   -68.0   650.0  -717.0   -67.0
  685.0  -754.0   -69.0   745.0  -813.0   -68.0
  792.0  -860.0   -68.0   627.0  -694.0   -67.0
  756.0  -824.0   -68.0   568.0  -635.0   -67.0
  748.0  -817.0   -69.0   708.0  -776.0   -68.0
  750.0  -818.0   -68.0   674.0  -742.0   -68.0
  684.0  -751.0   -67.0   636.0  -704.0   -68.0
  661.0  -730.0   -69.0   624.0  -691.0   -67.0
  761.0  -829.0   -68.0   600.0  -667.0   -67.0
  785.0  -853.0   -68.0   597.0  -665.0   -68.0
  741.0  -809.0   -68.0   593.0  -659.0   -66.0
  617.0  -685.0   -68.0   701.0  -768.0   -67.0
  677.0  -745.0   -68.0   657.0  -725.0   -68.0
  755.0  -825.0   -70.0   562.0  -628.0   -66.0
  663.0  -731.0   -68.0   743.0  -811.0   -68.0
  801.0  -869.0   -68.0   689.0  -757.0   -68.0
  827.0  -895.0   -68.0   523.0  -590.0   -67.0
  613.0  -682.0   -69.0   742.0  -810.0   -68.0
  722.0  -791.0   -69.0   624.0  -692.0   -68.0
  675.0  -742.0   -67.0   673.0  -739.0   -66.0
  587.0  -655.0   -68.0   764.0  -832.0   -68.0
  607.0  -676.0   -69.0   776.0  -843.0   -67.0
  672.0  -741.0   -69.0   639.0  -706.0   -67.0
  706.0  -774.0   -68.0   854.0  -922.0   -68.0
  654.0  -722.0   -68.0   631.0  -699.0   -68.0
  796.0  -865.0   -69.0   618.0  -685.0   -67.0
  756.0  -826.0   -70.0   593.0  -660.0   -67.0
  745.0  -812.0   -67.0   793.0  -861.0   -68.0
  676.0  -743.0   -67.0   653.0  -720.0   -67.0
  612.0  -681.0   -69.0   763.0  -831.0   -68.0
  749.0  -818.0   -69.0   557.0  -624.0   -67.0
  773.0  -841.0   -68.0   569.0  -636.0   -67.0
  715.0  -784.0   -69.0   683.0  -750.0   -67.0
  604.0  -672.0   -68.0   730.0  -797.0   -67.0
  650.0  -719.0   -69.0   776.0  -844.0   -68.0
  731.0  -800.0   -69.0   636.0  -703.0   -67.0
  737.0  -805.0   -68.0   783.0  -849.0   -66.0
  649.0  -717.0   -68.0   632.0  -700.0   -68.0
  614.0  -683.0   -69.0   733.0  -801.0   -68.0
  599.0  -668.0   -69.0   721.0  -789.0   -68.0
  697.0  -765.0   -68.0   588.0  -656.0   -68.0
  625.0  -693.0   -68.0   708.0  -776.0   -68.0
  635.0  -704.0   -69.0   725.0  -793.0   -68.0
